Unnamed: 0,excerpt,target
10,"learn the basics of tennis. Cindy's eyes opened wide, and she expressed support, seeing at once what the underlying hope was. ## On the Courts That evening, Sophie and the girls had helped Helen to locate her tennis gear from where it had been stowed away, and Helen was pleased with the smart Tennis clothes she owned, though she declared that it could be embarrassing to wear fabulous outfits and play like a beginner! Allie had called up Gena, and told her that Sophie was visiting, and that they were trying to get Helen on the courts, and Gena had asked to speak to Helen, and sworn to her that Helen would pick it up, no problem. In any case, Gena said, anyone could learn tennis; it was that easy! When Helen and Sophie headed out looking for courts at which they could practice, Helen had been filled up with great encouragement, and sure enough, when Sophie carefully adjusted Helen's forehand grip, and fed her a few balls, Helen returned the balls gently and firmly, displaying a degree of control that was not at all common.",-0.5195884945988656
11,"them down the coast as they raced toward home. The cold front had passed and was now ahead of them. Tom had cut this one a little close, she thought, as the swell height increased and the hull slapped each steel-gray wall. Sam served partially full cups of coffee to everyone as the suddenly frigid air drove them inside. Everyone except Bernard, who ran back and forth across the deck like a wild man. His mother looked miserable as she tried to corral him. Finally, she came and stood inside the cabin door and watched the boy through the glass. Her cheeks were beat red, and her graying hair stuck out in all directions. Sam took her a cup of coffee, which she gratefully accepted. ""I'm sorry about what happened earlier. I don't know what gets into him sometimes."" Sam figured it wasn't anything a good spanking wouldn't cure. But maybe it was too late for that.",-0.27039800357073546
12,"in the care of the burly bodyguard who had been on duty when they came into the building. Shortly thereafter, Herr Mankin brought the general's black Mercedes to the parking area near the building's exit door. Moments later, they were on their way back to their hotel suite. Hart watched carefully during the ride for any indication that they were being tailed. There weren't any signs of that, but then there was no need for anyone to tail them. Everyone who cared knew exactly where they were and where they were going. By now, General Wolff's men had had plenty of time to search their hotel rooms and bug them with sophisticated listening devices. Hart could count on their having done that. And whatever else they had done, he wondered. Chapter 33 Once they were back at their hotel but before they went to their suite, Hart motioned for Lisa to join him in a short walk around the block and down the street to a cafe",-0.8305679607391357
13,"pulled on the the shoulder to watch him. The second vehicle drove slowly by and the Lieutenant Commander driving waved and threw Brad a loose salute then smiled as he drove off. By 1900 he had the worst of the humps knocked down but there was still a lot of hours of grade work to do yet. Then Brad would bring in the surveyors to give him some grade stakes so he could really shape it like a real road with a couple of smooth curves and a gentle climb up the hill. While he backed the dozer down the hill, Brad was startled by the blaring of a car horn. Throwing out the master clutch and slamming on the brakes he was surprised not to feel the dozer hit something. He turned around and saw Ron, 'Akabu', Jessup's big smile behind the windshield of his Olds. ""Isn't it time to knockoff and get some chow?"" Ron hollered as he stepped up onto the dozer. ""Come on Brad, let's go down to the Ten-Gay-Ten and get some",-0.8342971086502075
14,"to protect him than sheet metal doors and a glass windshield. He also had the chief turn on the cruiser's lights and siren for a full minute before they exited the vehicle. This was about delivering a message, not starting a firefight—that is, if things went as planned. Mason, Chief Blue, and Bowie approached the Walmart on foot, slow and steady, so as not to startle anyone. Sensing danger, Bowie twitched nervously with every sound or movement, like he was leading a big cat hunt in the African Serengeti. When they were about a hundred yards out, Mason set his rifle and magazines down behind a car. This would be his retreat position that he would try to fight his way back to, if it came to that. When they were thirty yards from the store, he motioned for the chief to hang back. Chief Blue stopped and stood ready with his rifle in hand. Mason and Bowie continued on ahead. The Walmart's two public entrances had been smashed to the point where they were nothing",-0.6386834785342217
15,"with the likes of Vera bleeding Lynn?"" ""Mind the shoulder, corporal,"" the colonel said. ""Traction's a little tricky, sir."" Try nonexistent, you old walrus, he thought. Although the jeep's nose was pointing straight down the road, the corporal had to struggle to keep the wheels alternately caromed at a forty-five degree angle left and right to maintain some semblance of normalcy; doing this while constantly shifting in order to maintain speed would have been tricky for someone blessed with four hands. Cogswell had to contend with the standard two, and was gradually losing the fight. Waves of mud rose, constantly threatening to swamp the jeep's occupants. ""There, there, just topping Winfield Ridge. There she comes,"" the colonel almost shouted. ""Thank God,"" the corporal thought. ""Just a few more yards and we'll begin climbing ol' Winnie. Road should smooth – After a while, Benny shamed himself for a coward. Oh he still kept up his correspondence; and when a soldier returned home and dropped by his modest cottage, he was always gracious and set out tea and biscuits. Sometimes the soldiers chatted about Benny",-1.4237741792201997
16,"World War. A lot of high-ranking German officers were very elitist; they did not like this jumped-up ex-corporal, failed artist taking over the running of the country, and taking it into a war that could be very unpredictable. There were one or two.' Semeramis was working at her computer, 'It looks like he had some useful allies – here we have the Canadian connection; although it is a bit tenuous to say the least. Best was travelling with a Dutchman called Captain Klop,' she looked around at her comrades. A smile played on her lips as she continued, 'It's true,' she pointed at her screen, 'Captain Klop – you couldn't make it up. He was trying to hide his nationality to maintain his countries neutrality. So he was travelling as a Canadian by the name of Coppens. Apparently he spent some time in Canada, so that seems to be why the Canadian newspaper covered it,' she clicked her computer a couple of times, 'Yes, they seem to have thought the name Coppens was genuine, and he was a hero of a Canadian spy.' Marq blew a cloud of",-1.5533235275745392
17,"distinguish himself, decoyed his antagonist from Sandy Hook. They met and fought; during the heat of the combat, one fatal shot decided the fate both of Captain Courtenay, and Lieutenant Butler, of Marines. A sincere friendship existed between them, and as they had been united in their lives, so were they also united in their deaths. Those amiable young men were hand in hand chanting every loyal Briton's anthem, ""God save the King,"" at the moment their golden pitchers were broken. Adored by the crew, they unhappily left their guns to bid their departed father a long adieu, but he was no more, and to this circumstance alone was owing the Frenchman's escape, whom the Boston was unable to follow. The capture of La Reunion, by the Crescent, Captain Saumarez, was a proof of English discipline, as the republican frigate sustained a loss of 120 killed and wounded, without one accident on our side. The Honorable Captain Yorke, in the Circe, hastened to share in the glory, but was prevented by light winds.",-2.421331753730774
18,"been suitably 'relaxed' they went to find a Padre. David didn't have to wait until they returned to England too change her surname. When the RAF finally got the Stanley Airfield open for none 'active service' aircraft, he was first flown by a medevac VC10 to a BMH (British Military Hospital) in Germany. There, with specialist equipment they sorted his eye out, as there was no requirement for a one eyed sniper in the Regiment, then by a noisy old Hercules to England. They may be married but Caroline was still doing her job on the Uganda, so when it sailed majestically into harbour with Caroline still on board, David was waiting proudly on the dockyard jetty with a smile on his face, and a leave chit and the keys to their newly rented flat in his pocket. A sympathetic Appointment's Clerk had even arranged for Caroline to be transferred to his base's hospital, after a belated honeymoon of course, and David and Caroline quickly settled down to military life as a married couple. David did the 'long' Spanish language course and then expected",-1.9018174314498901
19,"for hours to know whether they would live another day. Mendel, as a pharmacist, was important to the Germans; Aharon Perlmutter, as a horse trader, wasn't. And so when the German commander read Mendel's name—as one of the experts who would be saved, for a while, as all the others went into the fire—he had an opportunity. The lists, prepared by the Soviets, showed he had a wife and two children. And the Germans had no way of knowing they were now in Siberia. He grabbed Chaya and the two Perlmutter boys, Jacob, 10, and Chaim, 12, and claimed them as his. Mendel, as well as Chaya, Jacob, and Chaim, were hustled away by the Polish police or Latvian SS men, looking back for the last time at their father. And their father could only take comfort in the knowledge that he would die in a few minutes but his wife and sons would survive. Everyone else was forced into the hay warehouses and burnt",-1.5135752689838409
20,"and drive off to pick up Phone Guy's Boss. After picking him up, they drive to Fazbear's Fright, where Scott, Mike, and Fritz all wait to end it, they also rented a truck for them to put Springtrap in. They get out and walk towards them. ""So, uh, we all ready for this?"" Phone Dude said, and they all nod. ""So, uh, guys how are we going to lead him out with the children noises? Like what are we going to use?"" Mike asks, Phone Dude thinks for a moment. ""Well, I can use my phone, as for the rest of you, just stand on the sides and make sure I'm luring him out. I'll be the bait."" Phone Dude says as he goes to a YouTube video with children cheering. ""Alright, lets end this."" Phone Guy's Boss says, as they walk inside. They hear the animatronic walking around. Rather noisily for him. ""Hey, like, PG, man, come out to",-0.7927264446020126
21,"reached the south end of Richmond Hill, Michael's cell phone rang. He punched the speaker button. ""Valiant here."" ""Yeah, Mick. It's Jim. I got your message. Good job."" ""I've gotta ask, Jim: what did these people do? They don't seem like our typical targets."" ""You can ask, Mick, but trust me, they're a threat. And this isn't something we discuss over a cell phone."" ""Right."" He hung up the phone, but his doubts continued. ""I wouldn't question Cornell if I were you,"" said Torque. ""If you want to ask someone anything, ask me. If I don't know the answer, it's because we're not supposed to know. Are we clear?"" Michael nodded, keeping his eyes on the road. Torque was right. But he persisted. ""Don't you think it's odd, though, that we're targeting housewives now?"" ""Maybe they aren't just housewives. It's not our job to verify that the targets are correct. What's up with you? I've never known you to",-0.3717519733309746
22,"eating him?_ He leaned into the intercom system. ""Who's closest to the Great Russell Street entrance?"" There was a crackle then a voice responded. ""Paul here, I'm about fifty feet away. What's the problem?"" ""There's two coppers at the door. See what they want."" ""Roger, I'll check it out."" A few moments later Clive and Rodney watched Paul jogging toward the doors. He inspected the cards through the window and lifted his radio. ""They're coppers, all right, and they want in."" ""Okay, just a moment."" Clive hit a few keys on the keyboard and they watched Paul open the door. The two men entered and Paul closed the door behind them. Clive reactivated the locks as he and Rodney watched the three men. They spoke for a few seconds then Paul lifted his radio again. ""They said there was some sort of murder tonight that involves the museum and they want to review the tapes. I'll bring them up to the control room."" Rodney turned pale as he watched the three men disappear from the view of",-0.6040107041597367
23,"forward, they're within twenty feet of Bill. Michael's heart is pounding. Then a police officer with stripes on his sleeves tells the crowd they've run out of time, and Bill needs to leave. People in line ahead of Amy and Michael start to disperse. Michael sees Bill walk away and turn the corner of the capital. He and Amy decide to follow. They see two police officers get into a patrol car parked behind a gold car with Steadman campaign stickers, and the patrol car leaves. Michael and Amy approach Bill. ""Excuse me,"" Michael says. ""Can I talk to you for just a minute?"" ""I'm sorry,"" Bill says. ""I'm running late for my next event. I need to go."" Amy says, ""He's your son. Can you not talk to him for just a minute?"" Bill takes a half step back. ""I don't have any children, and I need to leave. Excuse me."" ""I'm Michael Ondevy,"" Michael says. ""My mother is JoAnn Reeder",-0.2284958060644567
24,"prairies. He turned and looked northward. His view of the new land made him feel a greater need for haste. He finished his small meal, threw his knapsack over his shoulders and hurriedly walked down into the canyons below. The air grew warmer as he walked down the path worn by the passage of thousands before him, but strangely there was less and less sunlight as he walked down one ravine after another. At last he noticed the canyon walls were getting farther apart, but ahead, he could see no trees in the land before him, it was barren. And, in the distance, he saw the prairie disappeared into the blackness hovering above it. This land is in turmoil too; what is the cause? He quickly reached the edge of the plain and ventured away from the rocks carefully, watching for any movement. The heat shimmered like water above the land, but there was no water. No animals roamed these plains. Low growing sage spotted the landscape here and there; no trails crossed any of the low rolling hills though there was one well-traveled road passing just beyond the edge of the foothills. The clouds were like smoke billowing from the parched earth,",-0.8996179932355881
25,"flowers tinged with blue. The vastness of the plain gave him a sense of freedom that he hadn't experienced since his trips across the Gap Plain on Trevon. It was as close to a National Geographic movie of the Rift Valley as he would ever see in his lifetime. He felt right at home. 'What's the matter, Scat? Your heart rate and blood pressure have become erratic.' The question brought him back to mission. 'Nothing. It's just more beautiful than I expected. Visibility now out to around 20-30 kilometres.' 'Well, it was bound to be an improvement over Trevon, Scat. So, are you ready to breathe local air?' 'I'm ready.' 'OK, take it off.' Runnymede had sampled the air, and they knew it to be safe, but only to the limits of human understanding. As with all new environments, there were bound to be pathogens that had gone undetected; unfamiliar gases as well. Despite the numerous tests on animals, the only true test would be for a man to take a deep lungful, in situ—just as man had on Trevon, Constitution, G-eo, Runnymede and all the other human habited planets",-1.5988154530525207
26,"Pelas was only happy when he had what he wanted, and he wanted his servants to serve him happily. If any man seemed less than eager to do his will, Pelas was capable of doing anything, condescending to any request to see his servants happy. To acquire wives for his favorite servants he had executed several of his father's most faithful servants and given their wives away as prizes. Thankfully neither Cheru or Oblis had yet had the fortune, or misfortune as the case may be, to have fathered any children. These fools were his most devoted followers, however, although one might argue that Bralohi was the most faithful. Pelas could not allow them to be disappointed for long, and even if they were unfit to lead a mission, they were not unfit to follow. Indeed, they were not as skillful as Falruvis and his sons, or as wise as Kolohi or Sol, but they were strong, and their many years had given them a degree of skill that would be hard for any mortal man to attain. 'I want to cross the Thedul River again,' Pelas said,",-1.5782842254638672
27,"called strong, his brother was called mighty or fierce. If Pelas was called beautiful or noble, his brother was called dashing or handsome, and so on and so forth. The Queen, Lady Aedanla, could scarcely look her elder son in the eye, and was very often plainly indifferent to him. But Pelas she adored; and she tutored him herself, though she sent Agonas to the schoolmasters for his education. On the other hand, the King, Lord Parganas, considered Pelas to be 'almost a daughter', disdaining his gentleness and quiet spirit. In his eyes, it was the strong arms of Agonas the Elder that would some day bring great honor to his kingdom. Accordingly, he took Agonas aside and taught him to use the blade and spear personally, while Pelas learned from Maru, the Captain of the Guard in Parganas' army. Despite all of this, the brothers remained close in spirit, and would take no part in their parents' quarrels. When they did quarrel it became clear that whether it was in strength of arms or in strength of wit they were twins through and through, neither having any",-1.7892241644859315
28,"was that everyone in the small party, disheveled hair, wrinkly clothes and all, was hustled to the small office with the heads in jars. The Emperor was again dressed austerely and had a very impatient look on his face. They were all hustled to their seats by various aids who had begun buzzing about them to get them over to the Emperor's office. They all sat down in front of the Emperor's desk looking perplexed, eyes blinking like stupefied cows. The Emperor first spoke to St. John, ""Dear man of God, I must ask that for our last few moments together that you not speak at all, even if it should be the most urgent message from Heaven. I simply will not tolerate these delays in issuing my orders. There are to be no surprising invaders, no great spiritual insights, nothing to interrupt my issuing of orders."" St. John looked unhappy, but he did not contradict the Emperor. The Emperor turned first to the Governor and began, ""So your wagons are all loaded up and the servants are",-1.2291505700349807
29,"the walls. In the center of the room was a long table covered in food and drink with a single man sitting at its head. As soon as the chancellor led the prince to his seat at the opposite end of the table he immediately walked over to the other man and helped him up. His robes were similar to the chancellors except that they had much more detail. He was elderly, with a long gray beard. A golden jeweled crown sat on his head. Anye could see the coldness in his eyes as he glared at the visitors. ""Presenting his magnificence, Emperor Rosch Gregorious Mitus,"" the chancellor announced. ""My Liege, I present to you Prince Robert Ferdinand Delrich the Fourth."" ""Welcome to my empire, Prince Robert,"" the emperor greeted with a deep, booming voice. ""I am delighted you have come all this way in your father's stead so that we may finally make peace between our nations."" ""As am I,"" the prince responded with a bow. ""I am grateful for your hospitality and openness to the idea of peace."" The emperor took his seat again, and",-1.0182780563831328
30,"into the heart of the city. The doors closed behind them and the room was quiet and dim. This was one of the less decorated rooms of the Hall, but still fit for any Nobleman or Ambassador who might be visiting. One wall was decorated with a large fresco of the first war with Vindyrion, some 500 years earlier. Heavy red curtains brightened up the rather plain, white marble walls, which only offered a few black and gray veins for decoration of their own. Rommus looked to see his father sitting in an ornate chair holding a cup loosely in one hand, with a servant on her knees sopping up blood from the wound in his stomach. The Emperor Piro Tecadelion stood silently at the window looking west into the feathery purple and gold remnants of the sunset. ""Father! Are you all right?"" Rommus asked. ""Quiet boy, I'm fine,"" he said as he took a drink. Tannis Tirinius was not a man that showed emotion, let alone pain. He made no",-1.0723450195789337
31,"viewed the tall grandfather clock. He heard the subtle ticking of the clock. At half the speed of his own heartbeat, the clock did not calm him. It was twenty minutes till midnight and he was scared out of his mind. After finding the note in his home earlier, he spent the rest of the day trying to come up with something to point him in the right direction. He thought of the countless houses he visited. Only a few people answered the doors. Most were not home or were too afraid to even answer their door. Of those who did answer their door, they could offer nothing in terms of eye-witness accounts or anything strange they had seen. The clock announced that there were fifteen minutes remaining until witching hour. On the final tone of the chimes, John rose from the couch and walked to the front door. He peered out the peep hole and saw the light on his front porch. Beyond that light was an eerie twilight from the full moon that hung in the sky. The killer knew where he lived. Perhaps he would return. Or perhaps John would go mad from the paranoia",-0.3399913340806961
32,"the house like a blind man. Touching a table here and a desk there, stroking a handrail or a chair-back in a steady rhythm. It was very strange and creepy to be in the house at that time of night, his first night alone in the long, dark corridors. Even the statues appeared to have different expressions to their daylight faces as their cold hard limbs flickered in the candle light. He hurried his pace and was soon at the top of the stairs which led to the hallway he needed. He stumbled down the passage and past the unfamiliar places he knew only in the light. Then he was outside her room, the whole hall looked different in the light from his small, flickering candle. He paused and took a deep breath before knocking. As he raised his knuckles to the door something caught his eyes; it was something he'd not noticed before, down the hall was another set of doors. They were painted black. Also, these doors were distinctive",-0.31102341078221796
33,"did not yet understand? He gripped the brass handles of the double doors and after a brief pause, pushed them open. The doors rolled inward with a low moan. A wave of stale air rushed out like a giant exhalation. Darknoll stepped into the open space and surveyed the scene. The room was cloaked in shadow apart from an ellipsis of light surrounding a long table in the centre. A candelabrum with seven lit candles burned silently in the dark. Was someone here? He scanned the shadows, listened closely to the silence. His senses were finely tuned, able to pick up the presence of another human being in any given space from the tiniest telltale signs. As physical entities, humans could not avoid influencing the environment around them. Their weight, even when standing still, affected the floor on which they stood. They had no choice but to breathe, and no matter how quietly they inhaled and exhaled the most sensitive ears could pick up this basic process. After a long pause, Darknoll decided the room was currently unoccupied, but the lit candles told him the owner of this property had been here very recently and was likely to",-1.1261341154575348
34,"from the front of a schoolbook. On it was a childish drawing of a house, complete with a curly stalk of smoke coming out of the chimney, and a dog with only three legs standing in the flower bed. But the windows were well and accurately placed, and in one very small one upstairs there was drawn a sad face. ""Now, listen,"" said Fenestra. ""May says that Rosella shouted at her father, and threatened to jump out of the window, so he got a hammer and nailed the window shut. But she's allowed to go to the bathroom, and the window of that opens. But it's too small to climb through."" ""I don't think I'd got as far as getting her to climb out,"" he said. ""That would make things worse. And where would we put her? I was just going to talk to her."" ""Well anyway, she can't get out. But her bedroom's the one next to the bathroom, and has a door to it. And listen, May says everything's",-0.22184628923423588
35,"whipped up the beast, and off they rattled. It was completely dark in the little carriage, for the windows were covered and the doors were shut. Clarisse wondered if perhaps she had wandered into a bad dream. Gertrude was so happy she hoped she would not wake up and spoil it; her only disappointment was that her sister seemed to be the heroine of this tale rather than herself. They rattled on for what seemed hours but was perhaps only five minutes when the driver stopped the creature pulling the vehicle, descended from his perch, and opened the door while bowing deeply to its occupants. They stood before an enormous castle that blushed crimson with the rising sun. A middle aged man and woman, both handsome and wearing crowns, stood upon the great steps and stared in wonder at Clarisse; they had yet to notice Gertrude in their excitement. Finally the woman spoke, ""welcome home Princess!"" Gertrude gaped, ""you are a princess?",-0.42229641556739805
36,"a walk in Kensington Gardens next day with Cousin Charley (who took a half-holiday, as he asserted, to obtain her promise or enlist) finally settled the matter, and Fanny proceeded with red eyes and tender looks towards her mistress to prepare her trousseau, and thus preserve her the one she loved from adorning the ranks of the military. Several friends responded to the invitations to the farewell dinner party which Maisie sent out in Miss Stratheyre's name. They were old and intimate acquaintances, with the exception of the Duras who were waiting in London to meet an Australian vessel bearing the daughters of an old pupil of the Signora's. These children were to visit an aunt in Hyde Park, and then journey to Paris in the Signora's charge. Maisie was glad to hear how well the school was prospering, and that the Duras were in contact with several English families for pupils. With Maisie's assistance, the school had been moved to an imposing edifice in beautiful grounds. The Signor was the",-2.052912873029709
37,"House. She has a very dear friend, Ruth, who visits or phones her each day and a four-wheeled electric ""buggy"". One new hip has alleviated one painful joint but other bones are feeling their age too. Methodists often sing: We'll praise Him for all that is past And trust Him for all that's to come!"" Margaret says ""Amen to that"". She died on 20 June 2010. # 10.2.1—Brian Hugh Shearing—1943- Brian was born in 1943 in Lewisham in south-east London. After the Second World War the family moved to Tankerton on the north coast of Kent. School was the King's School in the precincts of Canterbury Cathedral, where he played the oboe and developed an abiding love of the great canon of English Church music. He was the first member of this branch of the family to go to university, and in 1964 graduated in mathematics from Queens' College in Cambridge. Brian became a computer programmer and soon met another named Betty Clarke. They married in 1967. Their first home was in the Bloomsbury district of London. Their second, where their first daughter, Sarah, was born, overlooked Westminster Cathedral. Then",-1.4371145677566528
38,"by saying, 'You will have received telegram announcing serious accident to your brother.' I then go on to tell her that there can be little doubt that Arthur is dead, and that she must return home without unnecessary delay. In the postscript I tell her to leave Badenworth by the night train, and if possible I will arrange for an English lady to accompany her as far as Ostend, and see her safe aboard the boat. This lady will be tall, elderly, and will carry in her hand a black-edged letter. She will also supply her with money if she is in need; and, finally, I suggest that Mrs. Finch or some other lady from Bradenford will meet her at Charing Cross."" ""That will do. And now about the trains for myself?"" ""Well, there's a train that leaves Charing Cross for Dover about two p.m., running in connection with the express to",-1.4122671353816987
39,"The house before us was gorgeous. White paint, white gingerbread trim, and a row of white seashell mobiles hung along the front porch. A gentle breeze sent them into tinkling melody. The front door sported a floral heart-shaped wreath made with fresh white roses. Dylan walked me up the few steps of the porch and pushed open the door without knocking. ""We're here! The party can begin!"" Laughter came from further through the house. Tony's deep voice boomed, ""We're out on the back porch!"" The house was beautiful in a relaxed beach-retreat style. Gauzy white curtains fluttered in the breeze. A white oval rug stretched on the polished wood floor. A trio of white couches surrounded a rough wood table. The room smelled of lemon and sunshine. Dylan guided me through the white granite kitchen to the pair of French doors which sat open. The Sexy Six – minus my guy of course – were sprawled in white Adirondack chairs on a massive porch overlooking the ocean. The waves gently rolled in",-0.2198718536249362
